17/10/16 07:29:33 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/16 07:29:34 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.2:8032
17/10/16 07:29:35 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/16 07:29:37 INFO input.FileInputFormat: Total input files to process : 3035
17/10/16 07:29:37 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/16 07:29:37 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508137381679_0002
17/10/16 07:29:38 INFO impl.YarnClientImpl: Submitted application application_1508137381679_0002
17/10/16 07:29:38 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1508137381679_0002/
17/10/16 07:29:38 INFO mapreduce.Job: Running job: job_1508137381679_0002
17/10/16 07:29:45 INFO mapreduce.Job: Job job_1508137381679_0002 running in uber mode : false
17/10/16 08:23:30 INFO mapreduce.Job:  map 74% reduce 0%
17/10/16 08:24:13 INFO mapreduce.Job:  map 75% reduce 0%
17/10/16 08:24:53 INFO mapreduce.Job:  map 76% reduce 0%
17/10/16 08:25:33 INFO mapreduce.Job:  map 77% reduce 0%
17/10/16 08:26:14 INFO mapreduce.Job:  map 78% reduce 0%
17/10/16 08:26:55 INFO mapreduce.Job:  map 79% reduce 0%
17/10/16 08:27:33 INFO mapreduce.Job:  map 80% reduce 0%
17/10/16 08:28:14 INFO mapreduce.Job:  map 81% reduce 0%
17/10/16 08:28:55 INFO mapreduce.Job:  map 82% reduce 0%
17/10/16 08:29:35 INFO mapreduce.Job:  map 83% reduce 0%
17/10/16 08:30:15 INFO mapreduce.Job:  map 84% reduce 0%
17/10/16 08:30:57 INFO mapreduce.Job:  map 85% reduce 0%
17/10/16 08:31:36 INFO mapreduce.Job:  map 86% reduce 0%
17/10/16 08:32:15 INFO mapreduce.Job:  map 87% reduce 0%
17/10/16 08:32:54 INFO mapreduce.Job:  map 88% reduce 0%
17/10/16 08:33:35 INFO mapreduce.Job:  map 89% reduce 0%
17/10/16 08:34:17 INFO mapreduce.Job:  map 90% reduce 0%
17/10/16 08:34:56 INFO mapreduce.Job:  map 91% reduce 0%
17/10/16 08:35:37 INFO mapreduce.Job:  map 92% reduce 0%
17/10/16 08:36:20 INFO mapreduce.Job:  map 93% reduce 0%
17/10/16 08:36:57 INFO mapreduce.Job:  map 94% reduce 0%
17/10/16 08:37:37 INFO mapreduce.Job:  map 95% reduce 0%
17/10/16 08:38:20 INFO mapreduce.Job:  map 95% reduce 4%
17/10/16 08:38:23 INFO mapreduce.Job:  map 95% reduce 7%
17/10/16 08:38:26 INFO mapreduce.Job:  map 95% reduce 10%
17/10/16 08:38:27 INFO mapreduce.Job:  map 95% reduce 14%
17/10/16 08:38:32 INFO mapreduce.Job:  map 95% reduce 15%
17/10/16 08:38:33 INFO mapreduce.Job:  map 96% reduce 15%
17/10/16 08:39:05 INFO mapreduce.Job:  map 96% reduce 16%
17/10/16 08:39:28 INFO mapreduce.Job:  map 97% reduce 16%
17/10/16 08:40:21 INFO mapreduce.Job:  map 98% reduce 16%
17/10/16 08:41:07 INFO mapreduce.Job:  map 99% reduce 16%
17/10/16 08:41:33 INFO mapreduce.Job:  map 99% reduce 17%
17/10/16 08:41:53 INFO mapreduce.Job:  map 100% reduce 17%
17/10/16 08:42:24 INFO mapreduce.Job:  map 100% reduce 18%
17/10/16 08:42:27 INFO mapreduce.Job:  map 100% reduce 19%
17/10/16 08:42:30 INFO mapreduce.Job:  map 100% reduce 22%
17/10/16 08:42:32 INFO mapreduce.Job:  map 100% reduce 32%
17/10/16 08:42:33 INFO mapreduce.Job:  map 100% reduce 34%
17/10/16 08:42:35 INFO mapreduce.Job:  map 100% reduce 39%
17/10/16 08:42:36 INFO mapreduce.Job:  map 100% reduce 40%
17/10/16 08:42:38 INFO mapreduce.Job:  map 100% reduce 41%
17/10/16 08:42:39 INFO mapreduce.Job:  map 100% reduce 43%
17/10/16 08:42:41 INFO mapreduce.Job:  map 100% reduce 44%
17/10/16 08:42:42 INFO mapreduce.Job:  map 100% reduce 45%
17/10/16 08:42:43 INFO mapreduce.Job:  map 100% reduce 49%
17/10/16 08:42:44 INFO mapreduce.Job:  map 100% reduce 52%
17/10/16 08:42:45 INFO mapreduce.Job:  map 100% reduce 54%
17/10/16 08:42:47 INFO mapreduce.Job:  map 100% reduce 55%
17/10/16 08:42:49 INFO mapreduce.Job:  map 100% reduce 56%
17/10/16 08:42:50 INFO mapreduce.Job:  map 100% reduce 57%
17/10/16 08:42:51 INFO mapreduce.Job:  map 100% reduce 59%
17/10/16 08:42:53 INFO mapreduce.Job:  map 100% reduce 60%
17/10/16 08:42:55 INFO mapreduce.Job:  map 100% reduce 61%
17/10/16 08:42:56 INFO mapreduce.Job:  map 100% reduce 63%
17/10/16 08:42:57 INFO mapreduce.Job:  map 100% reduce 64%
17/10/16 08:42:59 INFO mapreduce.Job:  map 100% reduce 66%
17/10/16 08:43:01 INFO mapreduce.Job:  map 100% reduce 67%
17/10/16 08:43:02 INFO mapreduce.Job:  map 100% reduce 69%
17/10/16 08:43:03 INFO mapreduce.Job:  map 100% reduce 70%
17/10/16 08:43:05 INFO mapreduce.Job:  map 100% reduce 71%
17/10/16 08:43:06 INFO mapreduce.Job:  map 100% reduce 72%
17/10/16 08:43:08 INFO mapreduce.Job:  map 100% reduce 74%
17/10/16 08:43:09 INFO mapreduce.Job:  map 100% reduce 76%
17/10/16 08:43:11 INFO mapreduce.Job:  map 100% reduce 77%
17/10/16 08:43:13 INFO mapreduce.Job:  map 100% reduce 78%
17/10/16 08:43:14 INFO mapreduce.Job:  map 100% reduce 79%
17/10/16 08:43:17 INFO mapreduce.Job:  map 100% reduce 80%
17/10/16 08:43:18 INFO mapreduce.Job:  map 100% reduce 81%
17/10/16 08:43:20 INFO mapreduce.Job:  map 100% reduce 82%
17/10/16 08:43:21 INFO mapreduce.Job:  map 100% reduce 83%
17/10/16 08:43:24 INFO mapreduce.Job:  map 100% reduce 84%
17/10/16 08:43:26 INFO mapreduce.Job:  map 100% reduce 85%
17/10/16 08:43:27 INFO mapreduce.Job:  map 100% reduce 86%
17/10/16 08:43:29 INFO mapreduce.Job:  map 100% reduce 87%
17/10/16 08:43:31 INFO mapreduce.Job:  map 100% reduce 88%
17/10/16 08:43:32 INFO mapreduce.Job:  map 100% reduce 89%
17/10/16 08:43:35 INFO mapreduce.Job:  map 100% reduce 90%
17/10/16 08:43:37 INFO mapreduce.Job:  map 100% reduce 91%
17/10/16 08:43:38 INFO mapreduce.Job:  map 100% reduce 92%
17/10/16 08:43:41 INFO mapreduce.Job:  map 100% reduce 93%
17/10/16 08:43:43 INFO mapreduce.Job:  map 100% reduce 94%
17/10/16 08:43:44 INFO mapreduce.Job:  map 100% reduce 95%
17/10/16 08:43:47 INFO mapreduce.Job:  map 100% reduce 96%
17/10/16 08:43:49 INFO mapreduce.Job:  map 100% reduce 97%
17/10/16 08:43:53 INFO mapreduce.Job:  map 100% reduce 99%
17/10/16 08:43:58 INFO mapreduce.Job:  map 100% reduce 100%
17/10/16 08:44:00 INFO mapreduce.Job: Job job_1508137381679_0002 completed successfully
17/10/16 08:44:00 INFO mapreduce.Job: Counters: 55
	File System Counters
		FILE: Number of bytes read=3420387914
		FILE: Number of bytes written=7277126500
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=256003201
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=427608
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Launched map tasks=3035
		Launched reduce tasks=8
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=121234144
		Total time spent by all reduces in occupied slots (ms)=6690916
		Total time spent by all map tasks (ms)=30308536
		Total time spent by all reduce tasks (ms)=1672729
		Total vcore-milliseconds taken by all map tasks=30308536
		Total vcore-milliseconds taken by all reduce tasks=1672729
		Total megabyte-milliseconds taken by all map tasks=62071881728
		Total megabyte-milliseconds taken by all reduce tasks=3425748992
	Map-Reduce Framework
		Map input records=3035
		Map output records=210620225
		Map output bytes=2999147381
		Map output materialized bytes=3420533540
		Input split bytes=427608
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218243
		Reduce shuffle bytes=3420533540
		Reduce input records=210620225
		Reduce output records=1218243
		Spilled Records=421240450
		Shuffled Maps =24280
		Failed Shuffles=0
		Merged Map outputs=24280
		GC time elapsed (ms)=599771
		CPU time spent (ms)=5701700
		Physical memory (bytes) snapshot=1452672282624
		Virtual memory (bytes) snapshot=10639549390848
		Total committed heap usage (bytes)=1299406389248
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141053926
	File Output Format Counters 
		Bytes Written=256003201
